artikel_id;udbud_id;url;udd6;Titel;Educational_Category;displaydocclass;kaldenavn;hovedinst;hovedinsttx;instkommune;instkommunetx;instregion;instregiontx;afbrud_statusaar;afbrud_n;afbrud;afbrud_aggr;timetal_statusaar;timetal_OfSupervision;timetal_WithFewStudents;timetal_WithManyStudents;branche_statusaar;branche_n;branchepct1;branchepct2;branchepct3;branchepct4;branchetxt1;branchetxt2;branchetxt3;branchetxt4;offt_privat;ledighed_nyudd_statusaar;ledighed_nyudd_n;ledighed_nyudd;ledighed_nyudd_aggr;maanedloen_nyudd_statusaar;maanedloen_nyudd_n;maanedloen_nyudd;maanedloenp25_nyudd;maanedloenp75_nyudd;maanedloen_nyudd_aggr;ledighed_10aar_statusaar;ledighed_10aar_n;ledighed_10aar;ledighed_10aar_aggr;maanedloen_10aar_statusaar;maanedloen_10aar_n;maanedloen_10aar;maanedloenp25_10aar;maanedloenp75_10aar;maanedloen_10aar_aggr;studbesvarelser_antal;studbesvarelser_pct;fagligmiljo_statusaar;fagligmiljo_n;fagligmiljo_ntotal;fagligmiljo_likert;arbmedstud_statusaar;arbmedstud_n;arbmedstud_ntotal;arbmedstud_likert;medstuderende_n;medstuderende_ntotal;medstuderende_likert;medstuderende_statusaar;socialtmiljo_statusaar;socialtmiljo_n;socialtmiljo_ntotal;socialtmiljo_likert;tidsforbrug_p50;tidsforbrug_undv_pct;tidsforbrug_n;tidsforbrug_arbejde;tidsforbrug_arbejde_n;tidsforbrug_studjob_pct;udb_undervisning_statusaar;udbytte_undervisning_n;udbytte_undervisning_ntotal;udbytte_undervisning_likert;uddaktivitet_opgaver_pct;uddaktivitet_praktik_pct;uddaktivitet_statusaar;uddaktivitet_udlandsophold_pct;uddaktivitet_undervisning_pct;und_engagerede_statusaar;undervisere_engagerede_n;undervisere_engagerede_ntotal;undervisere_engagerede_likert;und_feedback_statusaar;undervisere_feedback_n;undervisere_feedback_ntotal;undervisere_feedback_likert;und_hjaelp_statusaar;undervisere_hjaelp_n;undervisere_hjaelp_ntotal;undervisere_hjaelp_likert;und_kontakt_statusaar;undervisere_kontakt_n;undervisere_kontakt_ntotal;undervisere_kontakt_likert;undervisningsform_statusaar;undervisningsform_n;undervisningsform_p1;undervisningsform_p2;undervisningsform_p3;undervisningsform_p4;undervisningsform_p5;ensom_statusaar;ensom_n;ensom_ntotal;ensom_likert;ensom_altid;ensom_ofte;ensom_nogle;ensom_sjaeldent;ensom_aldrig;stress_daglig_statusaar;stress_daglig_n;stress_daglig_ntotal;stress_daglig_likert;stress_daglig_altid;stress_daglig_ofte;stress_daglig_nogle;stress_daglig_sjaeldent;stress_daglig_aldrig;tilpas_statusaar;tilpas_n;tilpas_ntotal;tilpas_likert;dimbesvarelser_antal;dimbesvarelser_pct;foerstejob_statusaar;foerstejob_n;foerstejob1pct;foerstejob1tx;foerstejob2pct;foerstejob2tx;foerstejob3pct;foerstejob3tx;foerstejob4pct;foerstejob4tx;arbejdsform_statusaar;arbejdsform_n;arbejdsform_fastedagtimer_pct;arbejdsform_faste_aften_nat_pct;arbejdsform_fleksible_pct;arbejdsform_skiftende_pct;arbejdsform_tilretteselv_pct;arbejdsform_andet_pct;arbejdsform_andet_pct2;arbejdstid_statusaar;arbejdstid_n;arbejdstid_timer;jobskabende_statusaar;jobskabende_n;jobskabende_p1;jobskabende_p2;jobskabende_p3;jobskabende_p4;jobskabende_p5;kompetencerudd_statusaar;kompetencerudd_n;kompetencerudd_p1;kompetencerudd_p2;kompetencerudd_p3;kompetencerudd_p4;kompetencerudd_p5;rel_over_udd_job_statusaar;relevans_overens_udd_job_n;relevans_overens_udd_job_ntotal;relevans_overens_udd_job_likert;ruster_til_job_statusaar;ruster_til_job_n;ruster_til_job_ntotal;ruster_til_job_likert;udlandet_statusaar;udlandet_n;udlandet_dk25_pct;udlandet_dk_pct;udlandet_udlandet_pct;hyppigsteid1;hyppigsteid2;hyppigsteid3;hyppigstepct1;hyppigstepct2;hyppigstepct3;hyppigstetx1;hyppigstetx2;hyppigstetx3;hyppigste_statusaar;hyppigste_n
udb-faergenavigatoer;443401;www.ug.dk/uddannelser/andreerhvervsrettedeuddannelser/andreuddannelserforunge/faergenavigatoer;201900;Færgenavigatør;Andre uddannelser;Andre uddannelser;;443401;Marstal Navigationsskole;492;Ærø;1083;Syddanmark;201910-202209;11;9;;Ingen data;;;;201911-202111;13;62;15;8;15;Transport;Bygge og anlæg;Industri;Øvrige brancher;69;Ingen data;;;;Ingen data;;;;;;Ingen data;;;;Ingen data;;;;;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;Ingen data;;;;;;;;;;Ingen data;;;;;;Ingen data;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
udb-faergenavigatoer;999999;www.ug.dk/uddannelser/andreerhvervsrettedeuddannelser/andreuddannelserforunge/faergenavigatoer;201900;Færgenavigatør;Andre uddannelser;Andre uddannelser;;999999;Uddannelsen på landsplan;;;;;201910-202209;11;9;;Ingen data;;;;201911-202111;13;62;15;8;15;Transport;Bygge og anlæg;Industri;Øvrige brancher;69;Ingen data;;;;Ingen data;;;;;;Ingen data;;;;Ingen data;;;;;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;Ingen data;;;;;;;;;;Ingen data;;;;;;Ingen data;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
udb2-VVSinstallatoer;101612;www.ug.dk/uddannelser/erhvervsakademiuddannelser/tekniskeogteknologiskeuddannelser/vvs-installatoer;516300;VVS-installatør;Erhvervsakademiuddannelser;Erhvervsakademiuddannelse;;101604;Københavns Erhvervsakademi (KEA);101;København;1084;Hovedstaden;201910-202209;47;17;;E2022F2023;18;333;0;201911-202111;20;70;20;5;5;Bygge og anlæg;Videnservice;Handel;Øvrige brancher;95;201910-202306;14;0;;Ingen data;;;;;;Ingen data;;;;Ingen data;;;;;;32;86;202310-202312;32;32;4,19;202310-202312;32;32;4,22;32;32;4,06;202310-202312;202310-202312;32;32;4,22;37,0;68;32;16,0;10;65;202310-202312;32;32;3,88;12,50;12,50;E2022F2023;0,00;75,00;202310-202312;32;32;4,47;202310-202312;32;32;3,72;202310-202312;32;32;4,06;202310-202312;31;32;4,03;202310-202312;32;Klasseundervisning (holdundervisning);Selvstudie (forberedelse, læsning, hjemmeopgaver);Projektarbejde (både individuelt og i grupper);Gruppearbejde (læsegruppe, studiegruppe);Faglig vejledning fra din underviser;202310-202312;30;32;4,33;3,00;3,00;10,00;23,00;60,00;202310-202312;32;32;3,75;0,00;22,00;19,00;22,00;38,00;202310-202312;32;32;4,19;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
udb2-VVSinstallatoer;259412;www.ug.dk/uddannelser/erhvervsakademiuddannelser/tekniskeogteknologiskeuddannelser/vvs-installatoer;516300;VVS-installatør;Erhvervsakademiuddannelser;Erhvervsakademiuddannelse;;259404;Zealand Sjællands Erhvervsakademi;330;Slagelse;1085;Sjælland;201910-202209;22;9;;E2022F2023;17;263;0;201911-202111;16;63;31;6;5;Bygge og anlæg;Videnservice;Ejendomshandel og udlejning;Øvrige brancher;100;201910-202306;12;0;;Ingen data;;;;;;Ingen data;;;;Ingen data;;;;;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;Ingen data;;;;;;;;;;Ingen data;;;;12,50;12,50;E2022F2023;0,00;75,00;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
udb2-VVSinstallatoer;461453;www.ug.dk/uddannelser/erhvervsakademiuddannelser/tekniskeogteknologiskeuddannelser/vvs-installatoer;516300;VVS-installatør;Erhvervsakademiuddannelser;Erhvervsakademiuddannelse;;630401;UCL Erhvervsakademi og Professionshøjskole;461;Odense;1083;Syddanmark;201910-202209;18;11;;E2022F2023;11;331;0;201911-202111;15;80;7;7;7;Bygge og anlæg;Industri;Videnservice;Øvrige brancher;93;201910-202306;221;8;Institutionstal for undergruppe: Tekniske område, EA;Ingen data;;;;;;Ingen data;;;;Ingen data;;;;;;15;100;202310-202312;15;15;4,13;202310-202312;15;15;4,47;15;15;4,33;202310-202312;202310-202312;15;15;4,40;44,0;71;13;;;;202310-202312;15;15;3,67;8,33;12,50;E2022F2023;0,00;79,17;202310-202312;15;15;3,93;202310-202312;15;15;3,87;202310-202312;15;15;3,40;202310-202312;15;15;4,27;202310-202312;15;Klasseundervisning (holdundervisning);Gruppearbejde (læsegruppe, studiegruppe);Selvstudie (forberedelse, læsning, hjemmeopgaver);Projektarbejde (både individuelt og i grupper);Faglig vejledning fra din underviser;202310-202312;15;15;4,27;0,00;0,00;20,00;33,00;47,00;202310-202312;15;15;3,80;0,00;7,00;47,00;7,00;40,00;202310-202312;15;15;4,27;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
udb2-VVSinstallatoer;657419;www.ug.dk/uddannelser/erhvervsakademiuddannelser/tekniskeogteknologiskeuddannelser/vvs-installatoer;516300;VVS-installatør;Erhvervsakademiuddannelser;Erhvervsakademiuddannelse;;657418;Erhvervsakademi MidtVest;657;Herning;1082;Midtjylland;201910-202209;20;10;;E2022F2023;14;300;0;Ingen data;;;;;;;;;;;Ingen data;;;;Ingen data;;;;;;Ingen data;;;;Ingen data;;;;;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;Ingen data;;;;;;;;;;Ingen data;;;;12,50;12,50;E2022F2023;0,00;75,00;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
udb2-VVSinstallatoer;730404;www.ug.dk/uddannelser/erhvervsakademiuddannelser/tekniskeogteknologiskeuddannelser/vvs-installatoer;516300;VVS-installatør;Erhvervsakademiuddannelser;Erhvervsakademiuddannelse;;730401;Erhvervsakademi Dania;730;Randers;1082;Midtjylland;201910-202209;167;15;Institutionstal for: Tekniske område, EA;Ingen data;;;;Ingen data;;;;;;;;;;;201910-202306;167;8;Institutionstal for undergruppe: Tekniske område, EA;Ingen data;;;;;;Ingen data;;;;Ingen data;;;;;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;Ingen data;;;;;;;;;;Ingen data;;;;;;Ingen data;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
udb2-VVSinstallatoer;851469;www.ug.dk/uddannelser/erhvervsakademiuddannelser/tekniskeogteknologiskeuddannelser/vvs-installatoer;516300;VVS-installatør;Erhvervsakademiuddannelser;Erhvervsakademiuddannelse;;851454;Professionshøjskolen University College Nordjylland;851;Aalborg;1081;Nordjylland;201910-202209;34;21;;E2022F2023;38;240;0;201911-202111;10;70;20;10;7;Bygge og anlæg;Industri;Sundhed og socialvæsen;Øvrige brancher;100;201910-202306;336;6;Institutionstal for undergruppe: Tekniske område, EA;Ingen data;;;;;;Ingen data;;;;Ingen data;;;;;;23;79;202310-202312;21;22;3,86;202310-202312;23;23;4,30;22;23;3,95;202310-202312;202310-202312;22;22;3,86;35,0;61;15;33,5;10;75;202310-202312;23;23;3,57;12,50;12,50;E2022F2023;0,00;75,00;202310-202312;23;23;3,57;202310-202312;23;23;3,35;202310-202312;23;23;3,78;202310-202312;22;23;3,55;202310-202312;23;Projektarbejde (både individuelt og i grupper);Selvstudie (forberedelse, læsning, hjemmeopgaver);Gruppearbejde (læsegruppe, studiegruppe);Klasseundervisning (holdundervisning);E-læring (eksempelvis fjernundervisning);202310-202312;19;21;4,00;5,00;5,00;16,00;32,00;42,00;202310-202312;19;21;4,05;0,00;11,00;21,00;21,00;47,00;202310-202312;22;22;4,09;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
udb2-VVSinstallatoer;999999;www.ug.dk/uddannelser/erhvervsakademiuddannelser/tekniskeogteknologiskeuddannelser/vvs-installatoer;516300;VVS-installatør;Erhvervsakademiuddannelser;Erhvervsakademiuddannelse;;999999;Uddannelsen på landsplan;;;;;201910-202209;145;14;;E2022F2023;23;285;0;201911-202111;71;73;15;4;7;Bygge og anlæg;Videnservice;Industri;Øvrige brancher;97;201910-202306;40;0;;Ingen data;;;;;;Ingen data;;;;Ingen data;;;;;;79;81;202310-202312;77;78;4,10;202310-202312;79;79;4,30;78;79;4,13;202310-202312;202310-202312;78;78;4,21;38,0;67;67;20,0;27;77;202310-202312;79;79;3,78;11,81;12,50;E2022F2023;0,00;75,69;202310-202312;79;79;4,06;202310-202312;79;79;3,67;202310-202312;79;79;3,89;202310-202312;77;79;3,97;202310-202312;79;Klasseundervisning (holdundervisning);Projektarbejde (både individuelt og i grupper);Selvstudie (forberedelse, læsning, hjemmeopgaver);Gruppearbejde (læsegruppe, studiegruppe);Faglig vejledning fra din underviser;202310-202312;73;77;4,25;4,00;3,00;12,00;26,00;55,00;202310-202312;75;77;3,84;1,00;13,00;25,00;20,00;40,00;202310-202312;78;78;4,18;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
udb2-administrationsoekonom;101522;www.ug.dk/erhvervsakademiuddannelser/samfundsfagligeakademiuddannelser/administrationsoekonom;512500;Administrationsøkonom;Erhvervsakademiuddannelser;Erhvervsakademiuddannelse;;219417;Københavns Professionshøjskole;101;København;1084;Hovedstaden;201910-202209;180;26;;E2022F2023;6;76;186;201911-202111;848;14;13;13;60;Offentlig administration, forsvar og politi;Handel;Rejsebureauer, rengøring og anden operationel service;Øvrige brancher;66;201910-202306;86;21;;201901-202112;47;27.7;23.6;33.2;;201910-202306;31;7;;201901-202112;8;;;;;33;26;202310-202312;27;27;3,85;202310-202312;29;29;3,79;29;29;3,83;202310-202312;202310-202312;25;27;3,36;38,0;65;20;16,5;14;89;202310-202312;30;30;3,53;12,50;12,50;E2022F2023;0,00;75,00;202310-202312;28;28;4,11;202310-202312;29;29;3,76;202310-202312;26;28;3,88;202310-202312;26;28;4,08;202310-202312;32;Klasseundervisning (holdundervisning);Gruppearbejde (læsegruppe, studiegruppe);Selvstudie (forberedelse, læsning, hjemmeopgaver);Projektarbejde (både individuelt og i grupper);Forelæsninger;202310-202312;21;21;3,24;14,00;14,00;24,00;29,00;19,00;202310-202312;20;21;3,10;10,00;25,00;25,00;25,00;15,00;202310-202312;27;27;3,74;;;Ingen data;;;;;;;;;;Ingen data;;;;;;;;;Ingen data;;;Ingen data;;;;;;;Ingen data;;;;;;;Ingen data;;;;Ingen data;;;;Ingen data;;;;;;;;;;;;;;Ingen data;
